mode,rect,x,y,w,h,n,median_ms,min_ms,max_ms
A2,full,0,0,1072,1448,20,148.4,148.3,150.5
A2,half,0,0,1072,724,20,134.1,133.9,134.5
A2,200x200,436,624,200,200,20,120.9,120.8,123.2
DU,full,0,0,1072,1448,20,289.5,289.3,289.6
DU,half,0,0,1072,724,20,275.2,275.0,312.3
DU,200x200,436,624,200,200,20,262.0,261.9,270.4
GL16,full,0,0,1072,1448,20,477.7,477.4,477.7
GL16,half,0,0,1072,724,20,463.4,463.1,498.3
GL16,200x200,436,624,200,200,20,450.1,450.1,450.4
REAGL,full,0,0,1072,1448,20,493.8,493.6,494.0
REAGL,half,0,0,1072,724,20,471.5,471.2,507.1
REAGL,200x200,436,624,200,200,20,450.7,450.6,451.2
GC16,full,0,0,1072,1448,20,477.7,477.5,477.9
GC16,half,0,0,1072,724,20,463.4,463.1,495.7
GC16,200x200,436,624,200,200,20,450.2,450.1,450.5
GC16_FLASH,full,0,0,1072,1448,20,477.7,477.5,478.3
GC16_FLASH,half,0,0,1072,724,20,463.4,463.2,493.1
GC16_FLASH,200x200,436,624,200,200,20,450.2,450.1,450.5
